没有卡扣都不会掉啊,负面,0.2667,0.0215,0.7114
主播头围多大,负面,0.1083,0.0019,0.8897
不要刘海？,负面,0.0174,0.2662,0.7162
没盒子？,负面,0.0752,0.3499,0.5744
可以把这几款弄个组合套装，真的没钱[捂脸][捂脸],负面,0.4076,0.1394,0.4529
懂了,负面,0.1694,0.0357,0.7946
2号,负面,0.3603,0.0695,0.5696
耐克踢人吗,负面,0.1856,0.154,0.6601
后面的鞋子[流泪][流泪],负面,0.0107,0.0944,0.8948
旁边小姐姐的鞋子,负面,0.4665,0.0205,0.5127
固定杯吗,负面,0.073,0.1094,0.8174
耐克踢人吗,负面,0.1856,0.154,0.6601
苹果15呢,负面,0.4753,0.0206,0.504
139,负面,0.2317,0.1309,0.6372
洛川苹果发什么快递呀,负面,0.4809,0.0009,0.5181
好贵，买不起,负面,0.0348,0.0225,0.9426
吃的是草挤的是奶,负面,0.0393,0.0008,0.9599
华为产品有疑问的现在就可以找客服，华为产品有疑问的找客服,负面,0.2281,0.021,0.7508
耳机139,负面,0.2418,0.0473,0.7107
139,负面,0.2317,0.1309,0.6372
136,负面,0.1822,0.1848,0.6327
小的折叠！,负面,0.0922,0.2131,0.6945
讲讲手表，讲讲手表，讲讲手表，讲讲手表，讲讲手表，讲讲手表，,负面,0.0037,0.0003,0.996
耳机买了,负面,0.3704,0.0075,0.6219
139,负面,0.2317,0.1309,0.6372
139,负面,0.2317,0.1309,0.6372
139,负面,0.2317,0.1309,0.6372
139,负面,0.2317,0.1309,0.6372
139买的,负面,0.2869,0.0103,0.7026
直接送你们了，我说的,负面,0.1673,0.0008,0.8319
50,负面,0.3982,0.1328,0.4687
耳机什么手机都可以用吗？,负面,0.025,0.3191,0.6558
没了蓝色,负面,0.4088,0.0034,0.5876
路由器还有吗,负面,0.0593,0.0707,0.8697
蓝色加吗,负面,0.0564,0.1344,0.8089
没了啊,负面,0.3217,0.0089,0.6692
粑粑柑巨酸，以后都不敢来买了,负面,0.0925,0.0255,0.882
付不了款,负面,0.1333,0.0152,0.8513
60又加了！,负面,0.1967,0.2152,0.5879
不能用吗？苹果能用不,负面,0.0419,0.0764,0.8816
打电话声音可以不,负面,0.3949,0.0287,0.5763
[666][666][666][666][666][666][666][666],负面,0.1921,0.0822,0.7256
蓝色,负面,0.346,0.0868,0.5669
蓝色,负面,0.346,0.0868,0.5669
66666666,负面,0.3137,0.1905,0.4956
耳机蓝色,负面,0.429,0.0324,0.5385
什么时候发货,负面,0.2986,0.0017,0.6991
下不了单,负面,0.1027,0.0427,0.8543
蓝色,负面,0.346,0.0868,0.5669
买到蓝色了[呲牙],负面,0.1955,0.0336,0.7706
有平板支架吗？？？？？？？？？,负面,0.0019,0.0108,0.9872
劵是自动减的,负面,0.1376,0.0029,0.8595
蓝色,负面,0.346,0.0868,0.5669
什么手机都可用,负面,0.126,0.0057,0.8682
